,codigo,ano,situacao,qtd_feminino,qtd_masculino
328,FISICA E SOCIEDADE,2022,TRANCADO,0.1904761905,0.04166666667
373,FISICA MATEMATICA 1,2017,REPROVADO,0,0.08333333333
375,FISICA MATEMATICA 1,2018,APROVADO,0.4285714286,0.2916666667
377,FISICA MATEMATICA 1,2018,REPROVADO,0.1428571429,0.1666666667
378,FISICA MATEMATICA 1,2018,TRANCADO,0,0.125
379,FISICA MATEMATICA 1,2019,APROVADO,0.380952381,0.5833333333
380,FISICA MATEMATICA 1,2019,REP. MEDIA/FALTAS,0.04761904762,0.1666666667
381,FISICA MATEMATICA 1,2019,REPROVADO,0.2857142857,0.1666666667
382,FISICA MATEMATICA 1,2019,TRANCADO,0,0.125
383,FISICA MATEMATICA 1,2020,APROVADO,0.2857142857,0.375
384,FISICA MATEMATICA 1,2020,REPROVADO,0.04761904762,0.25
385,FISICA MATEMATICA 1,2020,TRANCADO,0.1428571429,0.08333333333
386,FISICA MATEMATICA 1,2021,APROVADO,0.6666666667,0.4166666667
388,FISICA MATEMATICA 1,2021,REPROVADO,0.04761904762,0.3333333333
390,FISICA MATEMATICA 1,2022,APROVADO,0.4285714286,0.2916666667
391,FISICA MATEMATICA 1,2022,REPROVADO,0.1428571429,0.125
396,FISICA MATEMATICA 2,2018,REPROVADO,0,0.1666666667
397,FISICA MATEMATICA 2,2019,APROVADO,0.4761904762,0.2916666667
398,FISICA MATEMATICA 2,2019,REPROVADO,0.09523809524,0.125
400,FISICA MATEMATICA 2,2020,APROVADO,0.09523809524,0.2083333333
402,FISICA MATEMATICA 2,2020,REPROVADO,0,0.08333333333
403,FISICA MATEMATICA 2,2021,APROVADO,0.2857142857,0.1666666667
404,FISICA MATEMATICA 2,2021,REPROVADO,0.09523809524,0.08333333333
405,FISICA MATEMATICA 2,2021,TRANCADO,0,0.08333333333
406,FISICA MATEMATICA 2,2022,APROVADO,0.09523809524,0.1666666667
407,FISICA MATEMATICA 2,2022,REP. MEDIA/FALTAS,0,0.08333333333
408,FISICA MATEMATICA 2,2022,REPROVADO,0.09523809524,0.04166666667
409,FISICA MATEMATICA 2,2022,TRANCADO,0.04761904762,0.08333333333
445,LABORATORIO DE FISICA 1,2018,REPROVADO,0,0.125
447,LABORATORIO DE FISICA 1,2019,APROVADO,0.2380952381,0.1666666667
448,LABORATORIO DE FISICA 1,2019,REP. MEDIA/FALTAS,0.04761904762,0.125
449,LABORATORIO DE FISICA 1,2019,REPROVADO,0.1904761905,0.04166666667
451,LABORATORIO DE FISICA 1,2020,APROVADO,0.1428571429,0.08333333333
452,LABORATORIO DE FISICA 1,2020,REPROVADO,0.1428571429,0.5833333333
